acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,clusters_km,artist,track_name,album_name,clusters_agg
-0.6727239316471528,-0.8237734798087462,1.2651167741146567,2.1473638035074583,-0.6990757973816956,0.6424783293172702,-0.7457962637203205,2,Tycho,Awake,Awake,6
1.1265010030711313,-1.7803726584175632,0.19429722483486705,-0.6768399895565896,-0.4427893900757019,0.38502580004369386,-0.6951214358692794,3,Lana Del Rey,Brooklyn Baby,Ultraviolence (Deluxe),3
2.1275175644759265,-2.866241996297842,-1.8920413336210617,-0.6895223679832857,-0.6093031575343985,-0.4143739612698649,-0.7504883774102318,1,Lana Del Rey,Video Games,Born To Die - The Paradise Edition,3
0.08455067893231107,-2.29745329550341,-1.0524785884110857,-0.6894090817465306,-0.4427893900757019,-0.2281140928243514,-0.7317199226505869,3,Lana Del Rey,Young And Beautiful,Young And Beautiful,3
-0.1684943997871167,-0.9853611788980735,-0.1726972685802725,-0.6283067772643316,-0.582516160160608,0.11846723275722608,-0.7054440859870841,3,Lana Del Rey,West Coast,Ultraviolence (Deluxe),1
1.67724617440165,-0.10632409585213361,-1.5401288056887363,-0.6863920073464899,-0.3921112869360986,-1.486678922424331,-0.7251509634847113,3,Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,1
-0.6887253116249991,-0.7397478762822967,0.14402400655882056,-0.6895198434989012,-0.35591264183638205,0.3497054101755078,-0.7626878730040009,2,Lana Del Rey,Summertime Sadness,Born To Die - The Paradise Edition,1
0.8771771755093419,1.2186950366803488,0.9534228208031683,-0.6891815625913764,0.5128548405568167,0.756717715297185,0.058432022730460144,0,Noah Slee,Told,Otherland,5
0.6650658595239393,-1.5089053239474937,-0.489418543719365,-0.6895255235887663,0.0422724542605007,0.3417031343459967,-0.4004566961428558,3,Noah Slee,Can't Let Go,To Your Inner Hippie & Cos You Fly as Fuck,3
-0.8776904454098893,0.9536912101738522,-0.09226011933859808,-0.6894179174418764,-0.5434216234529141,-0.22259528190744743,-0.3441513318639213,0,GOVI,WYDWM,WYDWM,1
1.1525497611746018,1.1863774968624834,-0.4491999690985278,1.9548718691883595,-0.5079469512551917,-1.126024629004648,0.8842440321548324,5,GOVI,Jungle,Blue Hour,2
-0.13128188821073034,1.5935784985675883,-0.222970486856319,1.3963296991149095,-0.3921112869360986,-0.2805427965349402,0.030279340590992885,5,GOVI,Feel This Way,Blue Hour,2
1.9786675181703806,-2.0130589451061947,-1.70603042599969,0.8377875290414591,-0.12424131319819569,-1.125748688458803,-0.7307814999126047,1,Noah Slee,Stayed,Otherland,3
0.2557282321836886,0.7921035110845255,-0.48439122189176037,-0.6887934231172576,-0.7251388218534915,0.19407494231881223,-0.5243284975565116,3,Noah Slee,DGAF,Otherland,1
-0.7222165720437469,0.33319444567083595,-0.23302513051152832,-0.6895171927902974,-0.16043995829791236,0.34804976690043654,1.334686946386308,4,Noah Slee,Radar,Otherland,0
1.6139849047217936,-1.0823137983516697,-1.0172873356178531,-0.6894163396391362,-0.21835779045745898,-0.631815111395886,-0.541220106840192,3,Noah Slee,Lips,Otherland,1
-0.8420408593197111,-0.43596300199436133,0.9986687172516102,-0.6895255235887663,0.8458823754742095,0.9203504589833915,-0.6284934214725404,0,YUNGBLUD,parents,weird!,5
-0.8895203028400226,-1.0435327505702312,1.3556085670115405,-0.6893589076193885,-0.7309306050694462,0.9266970915378312,-0.6463234534942028,2,Inhaler,It Won't Always Be Like This,It Won't Always Be Like This,6
-0.7810123403344373,1.231622052607495,1.2651167741146567,-0.6895216421940251,-0.6100271304363927,0.939942237738401,0.32119038936548766,0,Dub Pistols,Party's On,Crazy Diamonds,5
-0.8539860755357311,-0.17742268345143763,-0.1425333376146446,-0.688834445988506,0.8024440013545495,0.6802821840980632,-0.7617494502660186,0,The Hempolics,Early In The Morning - Radio Edit,Early In The Morning,1
-0.8171084765635322,-0.19034969937858381,0.9132042461823316,-0.67024477410205,-0.558625054394795,1.0861907270363598,-0.4220404191164473,0,Nothing But Thieves,Trip Switch,Nothing But Thieves (Track by Track),5
-0.7006333153294427,0.3461214615979821,1.29025338325268,-0.6894942199823983,-0.2907550806568921,1.0746012241108611,-0.7120130451529598,0,The Kooks,Bad Habit,Listen (Deluxe),5
-0.8386917332778363,0.43661057308800544,0.11888739742079729,-0.6790173573382319,-0.40659074497598524,0.6308888263917715,-0.6838603630134925,0,Portugal. The Man,Dummy,Dummy,5
0.5348220690065869,1.3932097516968225,-0.6804567731683417,-0.6895075681935814,-0.7606134940512138,-0.10062956064386679,-0.6538308353980609,0,Cassia,Right There,Why You Lacking Energy?,1
-0.8513439872138077,-0.4488900179215075,0.6115649365260526,-0.6895255235887663,-0.47898803517541855,0.5091990456740362,-0.8199316600209177,0,Daily J,Skylah,Venus Ate Mars,5
-0.2838531856739146,-0.21620373123287617,-0.20286119954590043,0.2350668822390355,1.7001703998275222,-0.2910285372770581,-0.7617494502660186,6,Lime Cordiale,Money,14 Steps To A Better You,1
-0.8846119725630972,0.7339319394123677,-0.5648283711334348,-0.6587899262073234,-0.589031916278557,0.6548956538803045,-0.7664415639559298,0,49th & Main,Up To Something,Must Be Nice,5
-0.6023922847677825,-0.4682805418122268,-0.21291584320110973,1.9895835294754103,-0.39935101595604194,-0.2303216171911133,-0.7758257913357522,5,Kid Francescoli,Nopalitos,Nopalitos,2
