artist,track_name,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,clusters_km,clusters_agg,clusters_ms
Jesse Royal,LionOrder (feat. Protoje),Royal,0.132,0.713,0.776,0.0,0.246,-4.613,0.195,78.968,0.759,0,0,0
FKJ,Greener,V I N C E N T,0.567,0.602,0.508,0.192,0.0729,-9.613,0.107,165.863,0.565,3,1,0
FKJ,Way Out,V I N C E N T,0.924,0.354,0.358,0.871,0.122,-13.092,0.0609,176.682,0.147,1,3,1
FKJ,Us,V I N C E N T,0.965,0.553,0.315,0.886,0.114,-11.941,0.0351,81.639,0.35,1,3,1
FKJ,Us - A COLORS SHOW,Us - A COLORS SHOW,0.972,0.399,0.297,0.86,0.0937,-11.819,0.0488,57.888,0.425,1,3,1
Mindflip,Destined for Greatness,Destined for Greatness,0.0184,0.876,0.486,0.0,0.308,-9.586,0.268,96.031,0.667,4,0,0
Anthony B,World A Reggae Music,Black Star,0.0392,0.831,0.587,0.0,0.164,-6.997,0.354,83.154,0.787,4,0,0
Damian Marley,Living It Up,Stony Hill,0.0573,0.782,0.687,0.0,0.0718,-6.69,0.109,97.014,0.802,0,5,0
Richie Spice,Youth Dem Cold,In The Streets To Africa,0.0262,0.624,0.719,0.0,0.368,-6.034,0.344,82.571,0.781,4,0,0
Alborosie,Strolling (feat. Protoje),Freedom & Fyah,0.0858,0.648,0.75,0.0,0.36,-4.869,0.29,73.907,0.775,4,0,0
Protoje,Who Knows,Ancient Future,0.0909,0.683,0.724,0.0,0.339,-4.436,0.0988,80.932,0.741,0,5,0
Just A Gent,Island Fever,Planet Oasis,0.0393,0.667,0.636,0.146,0.0629,-6.934,0.0675,100.033,0.719,0,1,0
Mura Masa,"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)","bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",0.167,0.719,0.818,0.000107,0.0362,-4.674,0.0424,148.008,0.761,0,5,0
Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Villano Antillano: Bzrp Music Sessions, Vol. 51",0.0584,0.82,0.752,0.00417,0.628,-7.635,0.0648,127.999,0.423,6,4,0
Slaine,Still Got My Gun,One Day,0.029,0.7,0.93,0.0139,0.185,-2.487,0.147,95.027,0.739,0,5,0
Sinara,Floresta,Sol,0.102,0.749,0.616,1.65e-05,0.0406,-7.117,0.0502,127.0,0.871,0,5,0
Amanajé Sound System,Conexão,Akitafya,0.145,0.793,0.808,0.0,0.133,-3.843,0.17,99.996,0.536,0,5,0
SUNSAY,Wind Song,Легко,0.52,0.611,0.391,0.0,0.272,-9.357,0.0313,95.262,0.439,3,1,0
Natiruts,Quero Ser Feliz Também - Ao Vivo,Natiruts Acústico no Rio de Janeiro (Ao Vivo),0.427,0.755,0.55,0.0,0.697,-7.402,0.0265,91.96,0.757,6,4,0
Mo'kalamity,Vision,Warriors of light,0.0266,0.884,0.471,4.63e-05,0.14,-6.919,0.0425,107.027,0.646,0,5,0
The 1975,Oh Caroline,Being Funny In A Foreign Language,0.363,0.646,0.85,4.01e-05,0.0994,-5.466,0.0428,96.538,0.819,0,5,0
Bob Marley & The Wailers,Natural Mystic,Exodus,0.0503,0.876,0.282,4.76e-05,0.0741,-12.618,0.319,130.958,0.801,4,0,0
Yeah Yeah Yeahs,Burning,Burning,0.0379,0.527,0.802,6.66e-06,0.096,-5.374,0.0471,116.008,0.193,2,6,0
The National,Weird Goodbyes (feat. Bon Iver),Weird Goodbyes (feat. Bon Iver),0.295,0.523,0.555,0.000859,0.0812,-7.761,0.0776,99.641,0.715,3,1,0
The 1975,I'm In Love With You,I'm In Love With You,0.169,0.668,0.902,8.74e-05,0.198,-3.924,0.0386,119.008,0.913,0,5,0
Arctic Monkeys,There’d Better Be A Mirrorball,There’d Better Be A Mirrorball,0.634,0.513,0.369,0.0139,0.186,-10.899,0.0307,72.062,0.311,3,1,0
Phoenix,Tonight (feat. Ezra Koenig),Tonight (feat. Ezra Koenig),0.0547,0.671,0.736,0.00381,0.111,-6.705,0.0344,141.967,0.89,0,5,0
Protoje,Late at Night (feat. Lila Iké),Late at Night (feat. Lila Iké),0.0375,0.717,0.728,4.79e-05,0.112,-5.367,0.127,80.921,0.368,0,1,0
Mefjus,Zenith (feat. flowanastasia),Zenith (feat. flowanastasia),0.00218,0.442,0.844,2.57e-05,0.0723,-0.073,0.0619,85.615,0.151,2,1,0
OFFAIAH,Find A Way,Find A Way,0.000121,0.898,0.814,0.426,0.147,-5.218,0.118,124.041,0.608,0,2,0
Mura Masa,up all week (with slowthai),demon time,0.163,0.761,0.371,0.0,0.427,-10.544,0.482,112.541,0.836,4,0,2
Raffa Fl,Ritmo - Document One Remix,Ritmo (Document One Remix),0.0121,0.671,0.889,0.0793,0.129,-3.359,0.067,174.045,0.706,2,5,0
Fox Stevenson,Victory Over Truth,Victory Over Truth,0.00228,0.478,0.916,0.0,0.232,-0.778,0.0623,171.95,0.732,2,6,0
Ornette,Crazy (Noze Remix Extended Club Version) [Mixed],"Darkbeat 10th Anniversary Collection (Mixed by Anthony Pappa, Rollin Connection & Phil K)",0.0448,0.867,0.496,0.189,0.146,-10.218,0.0479,120.528,0.245,3,1,0
Tentendo,Function,Function,0.0382,0.905,0.715,0.00623,0.14,-7.141,0.202,128.03,0.245,0,1,0
Disclosure,Waterfall - TOKiMONSTA Remix,Waterfall (TOKiMONSTA Remix),0.0117,0.781,0.72,0.601,0.271,-6.597,0.109,109.992,0.592,5,2,0
Sirens Of Lesbos,Like Some Dream,Sol,0.461,0.62,0.56,0.0767,0.0637,-12.34,0.0831,82.775,0.337,3,1,0
1000 Beasts,Naruda (Fall In Your Arms Again),Naruda,0.93,0.676,0.33,0.128,0.138,-15.591,0.237,98.05,0.511,3,1,2
Projections,Echophonic,Echophonic,0.367,0.748,0.79,0.888,0.178,-8.201,0.0964,94.02,0.676,5,2,0
Moods,Treat U Good,Treat U Good,0.0762,0.66,0.679,0.00112,0.139,-7.609,0.197,93.042,0.597,0,5,0
Crooked Colours,Love Language,Love Language,0.0313,0.795,0.574,0.00789,0.0998,-8.202,0.0474,118.989,0.318,0,1,0
Tinlicker,Because You Move Me,Because You Move Me,0.691,0.789,0.435,0.0418,0.107,-9.506,0.149,122.995,0.166,3,1,0
ZHU,Unbothered,Musical Chairs Mixtape (Vol. 1),0.124,0.843,0.532,0.734,0.189,-8.003,0.053,123.99,0.0389,5,2,0
ZHU,The Job,Musical Chairs Mixtape (Vol. 1),0.00959,0.827,0.794,0.812,0.0612,-7.289,0.0692,125.003,0.447,5,2,0
Zale,Rupem Baraka,Respect,0.0223,0.718,0.822,0.0,0.17,-6.693,0.322,130.446,0.828,4,0,0
Jay Dunham,I Got Summer On My Mind,I Got Summer On My Mind,0.00148,0.807,0.835,0.527,0.233,-6.849,0.0631,124.979,0.349,5,2,0
1991,When The Sun Goes Down,Odyssey,0.00222,0.384,0.956,0.439,0.116,-2.263,0.0637,174.008,0.14,2,6,3
Document One,Pounds Nor Pence,Coordinates,0.0262,0.747,0.874,0.000268,0.464,-4.084,0.161,87.003,0.335,6,4,0
ODESZA,Forgive Me (feat. Izzy Bizu),The Last Goodbye,0.0185,0.663,0.827,0.00104,0.265,-3.135,0.0372,104.985,0.395,0,5,0
Sofi Tukker,Summer In New York - Dubdogz & Selva Remix,Summer In New York (Dubdogz & Selva Remix),0.164,0.533,0.808,0.0944,0.222,-6.168,0.315,123.595,0.636,4,0,0
Mefjus,Break Away,Break Away,0.00021,0.283,0.936,0.887,0.114,-1.548,0.0724,83.875,0.0329,2,2,3
ZHU,I Wonder,Musical Chairs Mixtape (Vol. 1),0.0166,0.76,0.631,0.515,0.12,-7.59,0.0445,124.001,0.0698,5,2,0
Distance,Oneness,Oneness,0.183,0.691,0.723,0.858,0.12,-6.729,0.0918,139.98,0.0669,5,6,0
Sad Night Dynamite,What Does That Make Me?,What Does That Make Me?,0.139,0.601,0.747,0.0,0.326,-4.139,0.0401,95.911,0.817,0,5,0
Fox Stevenson,Get Through,Get Through,0.0947,0.692,0.84,1.45e-06,0.146,-2.937,0.0387,126.031,0.43,0,5,0
Technimatic,Confide,Confide,0.0101,0.285,0.867,0.000269,0.0887,-3.65,0.0465,173.818,0.0378,2,6,3
Low:r,Other Side,Spearhead 100,0.014,0.611,0.871,0.0463,0.0898,-4.411,0.0467,173.956,0.171,2,6,0
Sustance,Break the Habit,Break the Habit,0.00238,0.684,0.808,0.483,0.086,-6.517,0.0995,172.01,0.0786,2,6,0
Koji.,Honest,Honest,0.159,0.514,0.366,0.00382,0.138,-11.801,0.274,88.918,0.272,3,1,0
Morgan Heritage,Mount Zion Medley,Morgan Heritage Family & Friends Vol. 1,0.155,0.638,0.415,0.0,0.141,-13.1,0.362,137.551,0.812,4,0,0
Protoje,Protection,Ancient Future,0.0924,0.799,0.686,0.0,0.0905,-5.562,0.111,78.985,0.778,0,5,0
Lutan Fyah,When Mi Rise It,Crystal Woman Riddim & Musik Riddim,0.232,0.724,0.783,0.0,0.181,-3.999,0.217,77.929,0.759,0,0,0
Purple Disco Machine,Body Funk,Soulmatic,0.0019,0.84,0.876,0.284,0.0517,-6.327,0.045,121.999,0.772,0,5,0
Sofi Tukker,Drinkee,Drinkee,0.049,0.771,0.691,0.625,0.134,-7.593,0.0495,115.011,0.339,5,2,0
Sofi Tukker,Original Sin,Original Sin,0.165,0.779,0.727,0.0194,0.32,-8.59,0.053,124.021,0.455,0,5,0
Maverick Sabre,Slow Down - James Cole Remix,Slow Down (James Cole Remix),0.0374,0.802,0.651,0.66,0.1,-9.438,0.0578,126.004,0.332,5,2,0
OFFAIAH,Lose Control (feat. Guilty Empress),Lose Control (feat. Guilty Empress),0.000398,0.749,0.893,0.481,0.176,-4.141,0.0515,122.986,0.835,0,2,0
L'Entourloop,Florilège,La clarté dans la confusion,0.0258,0.745,0.817,0.0,0.0467,-7.644,0.279,97.986,0.724,4,0,0
Jungle,Romeo (feat. Bas),Loving In Stereo,0.246,0.752,0.636,0.0,0.36,-6.535,0.0852,95.014,0.733,0,5,0
IAMNOBODI,Savior,Savior,0.0356,0.659,0.617,0.283,0.0793,-8.016,0.214,121.879,0.341,4,1,0
Poca J,Be Blessed,Be Blessed,0.356,0.788,0.382,7.19e-05,0.126,-11.423,0.063,115.079,0.197,3,1,0
Solstis,Fake Clouds,Fake Clouds,0.0223,0.227,0.796,0.615,0.101,-6.865,0.591,179.719,0.0613,2,0,7
D*Minds,Systematic,Systematic,0.0138,0.705,0.97,0.204,0.0801,-2.281,0.331,171.971,0.321,2,0,3
RY X,Dark Room Dancing,Blood Moon,0.522,0.56,0.547,0.603,0.147,-9.769,0.031,112.079,0.0997,3,2,0
Barry Can't Swim,Can We Still Be Friends?,More Content,0.0159,0.698,0.71,0.321,0.0744,-8.55,0.0392,127.99,0.37,5,2,0
Hybrid Minds,Better Now,Better Now,0.0404,0.456,0.921,0.0013,0.129,-2.983,0.0517,86.949,0.0739,2,1,0
Mura Masa,hollaback bitch (with Shygirl & Channel Tres),hollaback bitch (with Shygirl & Channel Tres),0.0177,0.904,0.825,0.00665,0.124,-5.675,0.123,123.048,0.602,0,5,0
Damian Marley,Me Name Jr. Gong,Mr. Marley,0.134,0.812,0.656,0.0,0.0763,-5.102,0.0788,125.458,0.903,0,5,0
Tei Shi,Bassically - Acoustic,Bassically (Acoustic),0.905,0.414,0.229,0.0271,0.119,-9.559,0.0309,86.12,0.276,1,3,1
Juls,Jamestown Riddim,Jamestown Riddim,0.0345,0.796,0.443,0.829,0.0446,-14.954,0.089,99.998,0.719,5,2,0
Toske,Magnetic,Magnetic,0.0173,0.806,0.428,0.884,0.0823,-12.214,0.0559,126.995,0.469,5,2,0
Dubioza kolektiv,Booranija,Agrikultura,0.037,0.671,0.696,0.0,0.0891,-7.246,0.0466,84.026,0.736,0,5,0
Vandelux,Tulum,Tulum,0.0326,0.861,0.535,0.82,0.296,-9.416,0.081,110.01,0.318,5,2,0
Sofi Tukker,Mon Cheri,WET TENNIS,0.0109,0.692,0.755,0.0579,0.133,-6.876,0.029,125.017,0.239,2,6,0
Noah Slee,COMPLICIT,it takes a village,0.553,0.542,0.395,2.26e-05,0.438,-14.319,0.371,72.616,0.42,4,1,2
Noah Slee,LETTER,it takes a village,0.16,0.803,0.435,0.00161,0.38,-8.867,0.0416,107.933,0.286,3,1,0
Noah Slee,GREED,it takes a village,0.965,0.403,0.238,0.00167,0.126,-14.473,0.0379,123.96,0.652,1,3,1
Noah Slee,HEALING,it takes a village,0.448,0.565,0.462,1.59e-05,0.712,-9.634,0.24,88.573,0.219,6,4,5
Noah Slee,GOLDEN,it takes a village,0.0595,0.77,0.565,2e-06,0.164,-8.454,0.0838,95.014,0.508,0,1,0
Noah Slee,WALK,it takes a village,0.749,0.66,0.385,0.0,0.7,-10.593,0.0803,118.747,0.411,6,4,5
Noah Slee,RISE,it takes a village,0.713,0.475,0.362,0.114,0.148,-11.304,0.108,123.53,0.351,3,1,0
Mitekiss,FromU,Flep VIP / FromU,0.261,0.639,0.391,0.542,0.0714,-5.986,0.17,173.976,0.433,2,1,0
Grafix,CTRL,Half Life,0.0926,0.567,0.994,0.723,0.337,-1.367,0.0912,174.03,0.571,2,6,3
Ramson Badbonez,Fusion,Fusion,0.147,0.64,0.755,0.0,0.214,-10.311,0.481,139.514,0.593,4,0,0
Camion Bazar,Six Avril,Darkmoon 20,0.000438,0.619,0.737,0.83,0.0538,-8.249,0.0436,130.013,0.748,5,2,0
Capleton,High,High,0.0531,0.726,0.764,0.0,0.199,-6.932,0.355,118.06,0.608,4,0,0
Ivy Lab,Double Blind,Double Blind,0.000899,0.521,0.805,0.426,0.386,-6.783,0.0549,84.97,0.201,6,2,0
1991,We All Need Someone,We All Need Someone,0.0072,0.205,0.943,0.283,0.108,-3.388,0.358,173.981,0.0749,2,0,3
Flume,Highest Building,Palaces,0.413,0.442,0.681,6.72e-05,0.0948,-3.32,0.0459,74.212,0.509,0,1,0
FKJ,A Moment Of Mystery (feat. Toro y Moi),A Moment Of Mystery (feat. Toro y Moi),0.83,0.481,0.328,0.0566,0.115,-13.428,0.0337,113.547,0.102,1,3,1
53 Thieves,coastal,coastal,0.439,0.724,0.494,0.291,0.375,-11.172,0.0433,101.033,0.411,3,1,0
L'Entourloop,Calling Dancers,Calling Dancers,0.0236,0.669,0.599,4.06e-06,0.078,-4.616,0.254,179.953,0.637,2,0,0
Document One,Technology,Technology,0.0127,0.738,0.881,0.000123,0.0722,-1.806,0.155,174.011,0.317,2,6,0
edapollo,Standing There,Standing There,0.0805,0.711,0.621,0.878,0.147,-8.842,0.0531,120.0,0.342,5,2,0
Muzi,I Know It,Interblaktic,0.0531,0.697,0.762,1.35e-06,0.223,-9.842,0.214,110.007,0.522,4,0,0
mynameisleonidas,elevate in the village,elevate in the village,0.519,0.839,0.434,3.55e-06,0.196,-10.267,0.33,159.962,0.595,4,0,0
Numa Crew,Babylon,Babylon,0.165,0.758,0.862,9.64e-06,0.108,-7.029,0.202,140.109,0.539,0,1,0
Surv,Je k'abere,Je k'abere,0.013,0.749,0.529,0.866,0.118,-12.632,0.0595,126.704,0.808,5,2,0
Tightill,Locker (feat. Skinnyblackboy),Locker (feat. Skinnyblackboy),0.136,0.669,0.724,0.000597,0.614,-7.572,0.391,141.982,0.523,6,4,6
SpectraSoul,Say What,How We Live,0.169,0.567,0.739,0.000327,0.0936,-4.921,0.242,169.97,0.458,2,0,3
Never Dull,Voodoo Babe,Voodoo Babe,0.00375,0.764,0.77,0.000463,0.0728,-8.156,0.0697,122.988,0.666,0,5,0
Antoha MC,2х2=5,Советы для молодожёнов,0.0373,0.702,0.512,0.0,0.126,-7.0,0.105,123.877,0.676,0,5,0
Silkie,Limits,Fractals,0.024,0.749,0.574,0.796,0.0856,-6.536,0.0433,139.996,0.202,5,2,0
Arctic Monkeys,R U Mine?,AM,0.00616,0.288,0.758,0.0,0.303,-5.692,0.0371,97.094,0.619,2,1,0
Jungle,Casio,For Ever,0.431,0.816,0.492,0.0896,0.0995,-7.464,0.0752,115.989,0.765,0,1,0
Roosevelt,Montreal,Elliot - EP,0.00221,0.669,0.642,0.834,0.203,-9.004,0.0515,115.973,0.838,5,2,0
OFFAIAH,"OFFAIAH REMIXED - Mat.Joe, C'mon, Otistic Remix",OFFAIAH REMIXED,0.00996,0.811,0.62,0.78,0.123,-7.032,0.0581,125.007,0.494,5,2,0
Monrroe,Complete,Complete,0.0133,0.495,0.79,0.0659,0.114,-4.79,0.0469,173.884,0.14,2,6,3
Enrythm,Majid Blast,Majid Blast,0.0684,0.752,0.646,0.119,0.34,-11.387,0.0589,106.087,0.679,0,5,0
Ordure,Dumflad - Document One Remix,Dumflad (Document One Remix),0.00311,0.793,0.957,6.57e-05,0.0794,-3.603,0.479,174.184,0.27,4,0,3
Dubioza kolektiv,Bubrezi,Agrikultura,0.0466,0.714,0.852,4.02e-06,0.0673,-5.296,0.0412,75.03,0.96,0,5,0
Crooked Colours,Feel It,Feel It,0.0159,0.731,0.757,0.0427,0.253,-6.699,0.0803,122.002,0.198,0,1,0
Whiney,Headlines,Headlines,0.163,0.706,0.765,0.00746,0.684,-3.042,0.047,87.507,0.27,6,4,0
GLXY,Young Hearts,Young Hearts,0.0685,0.76,0.67,0.00181,0.0992,-5.16,0.112,86.835,0.165,0,1,0
ODB,Costard,Costard,0.412,0.927,0.37,0.0,0.086,-13.294,0.273,125.952,0.359,3,1,0
Rachel Foxx,TO YOU,BLUE MOON,0.496,0.671,0.341,0.0,0.126,-11.833,0.319,80.292,0.383,3,1,2
Überhaupt & Außerdem,Mostly Ghostly,An Understanding,0.0438,0.848,0.759,0.846,0.0917,-10.176,0.0714,107.004,0.125,5,2,0
The Weeknd,Out of Time - KAYTRANADA Remix,Out Of Time (Remix Bundle),0.0962,0.742,0.599,0.000578,0.0981,-8.796,0.297,108.283,0.573,4,0,0
Mindflip,High On Life,High On Life,0.108,0.801,0.708,0.0,0.114,-5.422,0.13,92.012,0.607,0,5,0
Mansionair,The Trouble with Us,"Happiness, Guaranteed",0.00729,0.404,0.603,4.9e-05,0.0752,-8.396,0.0404,118.597,0.198,2,1,0
Mefjus,Disclosed,Disclosed,0.000621,0.541,0.969,0.466,0.0948,-4.432,0.0732,172.026,0.0367,2,6,3
Noah Slee,CULTURE,it takes a village,0.572,0.731,0.385,3.36e-06,0.411,-9.26,0.0416,121.025,0.61,3,1,0
Mindchatter,Here I Go Again,DREAM SOUP,0.0368,0.781,0.535,0.339,0.108,-12.866,0.0658,123.96,0.554,5,2,0
Tora,Entity,Take A Rest,0.579,0.639,0.468,0.0108,0.324,-9.358,0.1,76.061,0.493,3,1,0
53 Thieves,3rd floor,3rd floor,0.0547,0.793,0.602,0.0514,0.113,-11.197,0.0321,111.0,0.62,0,1,0
Cutterz,Latchi - Village Live,Latchi (Village Live),0.575,0.524,0.276,0.0,0.391,-12.206,0.233,91.355,0.585,3,1,2
Monty,Games,Core 3,0.23,0.602,0.623,0.676,0.0744,-9.457,0.111,173.927,0.0545,5,6,0
Disclosure,Waterfall,Waterfall,0.0212,0.691,0.733,5.61e-05,0.0894,-6.887,0.0572,128.038,0.834,0,5,0
MISSIO,We Are Who We Are,Say Something,0.00223,0.48,0.726,0.0,0.188,-5.851,0.0331,149.997,0.361,2,6,0
Camo & Krooked,Loa - Fade Black Remix,Loa (Fade Black Remix),0.000755,0.274,0.961,0.656,0.0963,-2.369,0.335,175.031,0.0519,2,0,3
ODESZA,Love Letter (feat. The Knocks),Love Letter (feat. The Knocks),0.0948,0.635,0.835,0.0119,0.285,-2.876,0.0589,109.987,0.216,2,1,0
Chris Lorenzo,California Dreamin' (feat. High Jinx) (Cages Remix),California Dreamin' (feat. High Jinx) (Cages Remix),0.0168,0.725,0.818,0.182,0.346,-5.073,0.0558,124.999,0.583,0,5,0
Bob Marley & The Wailers,One Love / People Get Ready,One Love / People Get Ready,0.233,0.521,0.855,0.0,0.122,-5.992,0.0796,75.809,0.629,0,1,0
Chronixx,Never Give Up,Never Give Up,0.638,0.783,0.584,0.00234,0.105,-10.211,0.108,75.391,0.953,0,1,0
Glass Animals,I Don't Wanna Talk (I Just Wanna Dance) - Spotify Singles,Spotify Singles,0.131,0.717,0.827,0.249,0.118,-6.369,0.0268,129.007,0.883,0,2,0
Document One,Flute Ting,Flute Ting,0.00775,0.664,0.963,0.00455,0.0945,-3.114,0.139,174.028,0.482,2,6,0
Flume,Sirens,Sirens,0.123,0.324,0.743,0.00165,0.0993,-3.358,0.0805,74.618,0.0864,2,1,0
Onipa,Fire,We No Be Machine,0.126,0.479,0.926,0.431,0.106,-5.366,0.0546,89.878,0.733,0,2,0
narou,Check on Me,GOOD COMPANY,0.144,0.701,0.741,0.0,0.0976,-5.86,0.209,112.915,0.719,0,5,0
Mark Blair,Biggie Was A Jazz Fan (Dub),Biggie Was A Jazz Fan (Dub),0.00568,0.785,0.627,0.594,0.414,-11.51,0.0497,119.985,0.667,5,2,0
Rafau Etamski,Little Girl,Little Girl,0.0509,0.645,0.867,0.000237,0.11,-4.808,0.0827,87.809,0.461,0,1,0
Daddy Freddy,Bun Dem Out - GOLD Dubs & Raggamuffin Sound Remix,Bun Dem Out (GOLD Dubs & Raggamuffin Sound Remix),0.00285,0.744,0.868,0.0327,0.288,-1.629,0.304,180.003,0.799,4,0,0
DRS,Playing with Fire (feat. Dub Phizix),I Don't Usually Like MC's but…,0.0117,0.787,0.395,0.157,0.0638,-7.423,0.363,169.98,0.334,4,0,0
TOKiMONSTA,Naked,Naked,0.0028,0.868,0.811,0.000232,0.114,-5.037,0.0358,120.05,0.791,0,5,0
Mystic State,Society (feat. Astrid),Society (feat. Astrid),0.000304,0.778,0.783,0.483,0.0777,-12.722,0.0721,139.97,0.881,5,2,0
Kaela,Spiral - Remix,Spiral (Remix),0.496,0.62,0.659,1.5e-05,0.15,-6.225,0.143,107.966,0.356,3,1,0
Night Tales,Friends,Friends,0.00484,0.862,0.517,0.103,0.0988,-7.625,0.0508,118.004,0.504,0,1,0
Phairo,Pelican,Pelican,0.0408,0.844,0.545,0.909,0.0602,-7.485,0.0531,117.036,0.313,5,2,0
Footshooter,Head Down,Libations & Movement,0.00576,0.786,0.842,1.15e-05,0.0589,-5.127,0.0942,128.023,0.661,0,5,0
Channel Tres,Topdown,Channel Tres,0.0259,0.828,0.54,0.179,0.145,-8.54,0.0933,120.048,0.485,0,1,0
Picard Brothers,Blessing In This House,Blessing In This House,0.0119,0.761,0.862,0.0052,0.0866,-5.942,0.267,121.201,0.629,4,0,0
A-Trak,My Own Way,My Own Way,0.104,0.702,0.843,0.014,0.0572,-6.292,0.0515,124.995,0.227,2,6,0
Culture Shock,Recombine,Sequel,0.0177,0.638,0.994,0.669,0.111,0.377,0.168,174.021,0.0368,2,6,3
ODESZA,Better Now (feat. MARO),Better Now (feat. MARO),0.326,0.444,0.796,2.08e-06,0.161,-5.826,0.111,88.72,0.354,3,1,0
53 Thieves,two days,two days,0.524,0.689,0.531,0.0114,0.148,-9.901,0.0531,89.998,0.487,3,1,0
Technicolour,Satisfy,Satisfy,0.000484,0.651,0.843,0.403,0.0575,-3.921,0.0723,174.021,0.124,2,6,0
Mansionair,Next High,Next High,0.0345,0.762,0.699,0.588,0.238,-6.784,0.0284,117.988,0.879,0,2,0
Elijah Waters,Lose Control,Arranged Escape,0.237,0.816,0.389,0.00235,0.0947,-9.748,0.0684,139.17,0.64,3,1,0
YellowStraps,The Ballad,Yellockdown Project,0.0163,0.648,0.534,0.000594,0.0971,-6.303,0.381,179.722,0.699,4,0,0
Frivolous,Blue Canary,Release Paralysis,0.0351,0.785,0.577,0.734,0.336,-11.228,0.0459,123.744,0.82,5,2,0
Chronixx,Dela Move,Dela Move,0.248,0.607,0.558,1.48e-06,0.102,-9.372,0.371,139.335,0.37,4,0,0
1000 Beasts,For You & I,For You & I,0.316,0.651,0.4,0.000933,0.162,-11.987,0.14,90.038,0.572,3,1,0
Luxage,Dsnt Rlly Matter,Dsnt Rlly Matter,0.222,0.886,0.591,0.104,0.262,-7.881,0.134,119.994,0.314,0,1,0
Atili,Subterranean Exodus - Panda Dub remix,Horizons,0.556,0.754,0.356,0.000202,0.0979,-7.29,0.0845,140.032,0.0515,3,1,0
Pa Salieu,Glidin’ (feat. slowthai),Glidin’ (feat. slowthai),0.173,0.875,0.767,0.0,0.15,-4.109,0.302,110.076,0.941,4,0,0
Blimes and Gab,Un Deux Trois,Un Deux Trois,0.0886,0.688,0.885,0.0,0.415,-5.935,0.403,95.656,0.417,4,0,0
Atlantic Connection,Can't Destroy Love,Digital Landscape,0.00296,0.593,0.74,0.859,0.219,-6.765,0.0637,172.051,0.599,5,6,0
Skofi,WischWeg,WischWeg,0.707,0.779,0.467,0.000127,0.0799,-9.488,0.356,129.929,0.0766,4,1,0
Sad Night Dynamite,Krunk,Sad Night Dynamite,0.392,0.815,0.509,0.0442,0.299,-7.288,0.0419,94.023,0.578,0,1,0
MOTH,Los Feliz,Los Feliz,0.66,0.78,0.702,0.0,0.163,-5.887,0.317,80.735,0.647,4,0,0
Flume,Say Nothing,Say Nothing,0.097,0.478,0.824,5.07e-05,0.12,-2.011,0.064,130.051,0.284,2,6,0
2fox,We Are,We Are,0.0133,0.808,0.877,0.0611,0.0908,-7.216,0.0643,125.002,0.554,0,5,0
Hodini,Chronic Gangster Boogie,M$R003,0.000952,0.864,0.342,0.0554,0.704,-10.978,0.263,117.975,0.269,6,4,6
Document One,Back To Me,Back To Me,0.000434,0.748,0.867,0.296,0.192,-2.384,0.124,174.035,0.0649,2,6,0
Culture Shock,Panorama,Panorama,0.00417,0.49,0.928,0.936,0.0984,-3.609,0.0666,174.011,0.109,2,6,3
L'Impératrice,I Wanna Dance with Somebody (Who Loves Me) - InVersions 80s,I Wanna Dance with Somebody (Who Loves Me) - InVersions 80s,0.34,0.975,0.435,8.81e-05,0.221,-10.083,0.126,110.029,0.824,0,1,0
Bailey Wiley,Put D'Angelo On,Put D'Angelo On,0.652,0.786,0.49,6.96e-05,0.14,-8.393,0.0426,121.11,0.588,3,1,0
Ganzo,House Of Spirits,House Of Spirits,0.045,0.736,0.471,0.0719,0.201,-10.008,0.135,74.976,0.816,0,1,0
Daily Bread,Gone On A Purple Cloud,Purple Clouds,0.537,0.594,0.752,0.314,0.123,-9.032,0.158,145.949,0.345,2,1,0
Kreaem,What You Need,What You Need,0.786,0.771,0.593,0.00117,0.56,-9.573,0.0813,126.984,0.135,6,4,5
Wilczynski,Beach-Rehab,"Beats with Brothers, Vol. 4",0.142,0.762,0.3,3.64e-05,0.119,-14.732,0.188,81.028,0.429,3,1,0
JLZ,Delusion,Delusion,0.0334,0.71,0.535,0.607,0.107,-12.533,0.039,123.005,0.113,5,2,0
Filha Vee,Seifenblase,Seifenblase,0.706,0.552,0.557,0.205,0.174,-7.53,0.355,159.004,0.722,4,0,0
Pat Lagoon,Let Loose,Let Loose,0.153,0.764,0.618,5.64e-06,0.083,-9.843,0.0835,113.012,0.357,3,1,0
NiNE8,FVR105 - p-rallel Remix,FVR105 (p-rallel Remix),0.0386,0.818,0.62,1.35e-05,0.114,-9.753,0.363,120.058,0.895,4,0,0
Origami Beats,Love for You,"Stay Wavy, Vol. 8",0.355,0.797,0.512,0.736,0.0815,-7.32,0.0542,91.001,0.548,5,2,0
ELOQ,Love City,Love City,0.0743,0.878,0.669,0.00711,0.0624,-9.59,0.113,126.997,0.437,0,1,0
Catz 'n Dogz,It's Ok,Moments,0.252,0.758,0.507,0.217,0.177,-11.205,0.0383,110.033,0.81,0,1,0
Ed.1t,Breathe,Breathe,0.205,0.888,0.434,0.000292,0.127,-11.559,0.19,115.989,0.306,3,1,0
