artist,track_name,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,clusters_km,clusters_agg,clusters_ms
Evil Ebenezer,I'm The Man,I'm The Man,0.00542,0.585,0.753,2.41e-06,0.155,-6.321,0.128,170.015,0.884,2,5,0
grandson,Eulogy,Eulogy,0.135,0.539,0.787,3.74e-05,0.143,-6.03,0.364,80.449,0.692,4,0,0
Document One,More and More,More and More,0.00344,0.726,0.857,0.000145,0.112,-2.152,0.065,87.033,0.319,0,1,0
Sahida Apsara,Radiant Star,Up Your Vibration,0.031,0.793,0.602,7.32e-05,0.113,-9.201,0.0754,140.019,0.726,0,5,0
Chimpo,I Don't Care,I Don't Care,0.00118,0.491,0.59,0.227,0.0448,-6.442,0.0883,85.023,0.317,3,1,0
Spilif,Nazaré,Nazaré,0.339,0.769,0.601,0.0,0.13,-6.062,0.256,86.036,0.591,4,0,0
Jimmy Lindsay,Ain't No Sunshine - Live,Reggae in a Babylon,0.483,0.612,0.182,0.184,0.157,-22.115,0.124,137.913,0.644,1,3,1
Ahmed Ben Ali,Subhana,Subhana (Habibi Funk 012),0.0597,0.88,0.677,0.000759,0.0247,-6.195,0.0403,96.008,0.905,0,5,0
Famara,Mamah Fatuma,Double Culture,0.308,0.832,0.602,0.00387,0.0593,-5.896,0.0431,154.047,0.954,0,5,0
Jackie Mittoo,Outsnipe,Fire Selection,0.474,0.776,0.623,0.875,0.151,-8.611,0.0447,102.874,0.703,5,2,0
Collie Buddz,Twisted Agenda (with Bounty Killer),Twisted Agenda (with Bounty Killer),0.00288,0.729,0.667,0.0,0.0583,-4.774,0.234,77.456,0.738,4,0,0
Joe Hertz,I Don't Swear,Current Blues,0.51,0.751,0.568,0.00283,0.0901,-6.904,0.0871,94.978,0.467,3,1,0
Noya Rao,Talk,Owls,0.389,0.515,0.44,0.267,0.0784,-11.92,0.165,181.519,0.259,3,1,0
Alina Baraz,Fantasy,Urban Flora,0.353,0.68,0.747,0.0,0.138,-6.056,0.091,113.933,0.331,0,1,0
Warhaus,Time Bomb,Ha Ha Heartbreak,0.222,0.666,0.611,0.66,0.0793,-6.686,0.0332,140.038,0.469,5,2,0
Warhaus,It Had To Be You,Ha Ha Heartbreak,0.367,0.529,0.573,0.781,0.253,-7.062,0.0369,102.678,0.732,5,2,0
Warhaus,Love's a Stranger,Warhaus,0.202,0.564,0.585,0.00206,0.118,-8.823,0.0379,161.667,0.624,2,1,0
KSI,Not Over Yet (feat. Tom Grennan),Not Over Yet (feat. Tom Grennan) [Acoustic],0.542,0.501,0.775,0.0,0.394,-2.993,0.052,174.009,0.557,2,4,0
Else,Ambre,Ambre,0.221,0.492,0.806,0.67,0.225,-6.31,0.0427,96.065,0.143,5,2,0
Myd,The Sun,Born a Loser,0.752,0.773,0.586,0.762,0.0941,-7.623,0.0311,126.014,0.729,5,2,0
Tom Grennan,Little Bit of Love,Evering Road (Deluxe),0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,106.52,0.623,0,5,0
Lime Cordiale,Temper Temper,Permanent Vacation,0.0252,0.713,0.565,3.2e-06,0.633,-7.8,0.0351,130.047,0.705,6,4,0
Cassia,Drifting,Why You Lacking Energy?,0.216,0.732,0.617,3.09e-06,0.161,-7.234,0.038,101.156,0.445,0,1,0
Cassia,100 Times Over,100 Times Over,0.181,0.752,0.829,0.0,0.077,-4.593,0.0962,119.995,0.859,0,5,0
Florence + The Machine,Spectrum,Ceremonials (Original Deluxe Version),0.0685,0.574,0.879,0.000549,0.101,-5.571,0.05,123.086,0.122,2,6,0
Tom Grennan,Found What I've Been Looking For,Lighting Matches (Deluxe),0.0354,0.623,0.829,0.0,0.0762,-4.613,0.0286,107.067,0.779,0,5,0
YUNGBLUD,Tissues,YUNGBLUD,0.0109,0.607,0.901,0.0,0.105,-3.406,0.134,89.987,0.809,0,5,0
Lime Cordiale,Robbery,14 Steps To A Better You,0.306,0.685,0.748,0.105,0.183,-7.558,0.0959,152.949,0.879,0,1,0
DRS,Shush,Del-Rok-Ski,0.00304,0.756,0.69,0.000148,0.149,-2.782,0.243,169.979,0.621,2,0,0
Cold War Kids,What You Say (feat. Zella Day),What You Say (feat. Zella Day),0.0286,0.655,0.796,1.34e-06,0.281,-5.621,0.0603,116.913,0.458,0,5,0
COIN,Brad Pitt,Uncanny Valley,0.0149,0.781,0.726,1.88e-05,0.205,-5.794,0.0526,100.043,0.605,0,5,0
Still Woozy,Woof,"If This Isn’t Nice, I Don’t Know What Is",0.116,0.671,0.86,0.00139,0.15,-6.887,0.0383,97.037,0.79,0,5,0
Foals,2am,Life Is Yours,0.000335,0.698,0.794,0.605,0.0622,-3.333,0.0483,135.981,0.861,0,2,0
alt-J,Hard Drive Gold,The Dream,0.0858,0.67,0.853,2.1e-05,0.125,-5.962,0.0389,144.272,0.684,0,5,0
Foals,Wake Me Up,Life Is Yours,0.00407,0.651,0.949,0.00695,0.1,-3.385,0.0508,120.02,0.7,0,5,0
The Grogans,Washed Out,Washed Out / Ride,0.0225,0.663,0.564,0.000297,0.151,-6.308,0.0313,92.514,0.594,0,1,0
Celula de Criză,Zig Zag,Rimă și pedeapsă,0.27,0.702,0.632,0.0,0.591,-10.286,0.438,120.126,0.583,6,4,6
Macanache,Baseball Stradal,Baseball Stradal,0.137,0.719,0.891,0.0,0.175,-3.895,0.35,90.136,0.792,4,0,0
Macanache,Trei Chestii,Trei Chestii,0.0799,0.725,0.714,0.0,0.0509,-5.404,0.401,93.952,0.713,4,0,0
Caroline Polachek,Blood And Butter,Blood And Butter,0.233,0.5,0.694,0.00157,0.0562,-6.714,0.0417,180.075,0.396,2,6,0
slowthai,Feel Good,Feel Good,5.99e-05,0.588,0.898,6.04e-05,0.186,-6.362,0.0492,155.989,0.593,2,5,0
LEISURE,Miles Away,Sunsetter,0.536,0.808,0.486,0.522,0.0965,-9.31,0.0473,99.973,0.8,3,2,0
La Fine Equipe,Tiramisu fraise,La boulangerie (Back Burners),0.526,0.801,0.586,0.0138,0.146,-6.769,0.0319,83.656,0.886,0,1,0
sunflwr,kawamurra,kawamurra,0.161,0.98,0.53,0.0845,0.0887,-9.659,0.227,125.995,0.287,4,1,0
lavender,peppermint,all will be well,0.852,0.49,0.507,4.74e-06,0.0991,-8.076,0.167,104.483,0.495,3,1,0
((( O ))),Omw,((( 2 ))),0.578,0.799,0.497,0.365,0.119,-9.185,0.186,113.992,0.458,3,1,0
Galdive,Sway,Sway,0.12,0.548,0.737,0.16,0.604,-7.131,0.0726,110.003,0.375,6,4,0
Galdive,Crazy Driving,Canvas,0.585,0.751,0.594,0.000219,0.136,-5.295,0.327,94.932,0.543,4,0,0
Galdive,Puzzle,Canvas,0.383,0.773,0.579,0.0,0.201,-3.151,0.137,87.97,0.742,0,1,0
Galdive,Maybe I,Canvas,0.811,0.697,0.488,0.0286,0.106,-5.2,0.206,170.0,0.588,3,1,0
imagiro,River Day,Places I Remember,0.821,0.731,0.0958,0.912,0.106,-17.795,0.167,79.979,0.366,1,3,1
Galdive,Dormer,Window/Dormer,0.966,0.467,0.101,3.24e-05,0.389,-13.772,0.0342,74.459,0.109,1,3,1
Galdive,Window,Window/Dormer,0.78,0.591,0.315,0.00117,0.322,-8.676,0.16,120.665,0.351,3,1,0
Joe Hertz,Colourblind,Current Blues,0.0804,0.914,0.511,0.00321,0.172,-10.538,0.188,114.98,0.442,4,1,0
Knox Brown,The People,Searching,0.54,0.332,0.649,9.81e-05,0.102,-7.001,0.109,177.909,0.503,2,6,3
Ras Demo,Sekkle up the Score,Sekkle up the Score,0.546,0.682,0.699,0.0,0.0895,-5.809,0.228,166.116,0.933,4,0,0
Sizzla,Beautiful Day,Overstanding,0.14,0.733,0.695,0.0,0.136,-4.89,0.29,84.735,0.654,4,0,0
Barrington Levy,Black Roses,"Original Ragga Muffin, Pt. 1",0.0558,0.801,0.516,0.00861,0.126,-7.022,0.0814,84.793,0.877,0,1,0
Vibrações,Ela Partiu (Superstar),Ela Partiu (Superstar) - Single,0.54,0.725,0.466,0.0,0.29,-10.726,0.128,81.987,0.918,3,1,0
Shaggy,Bridges (feat. Chronixx),"Out Of Many, One Music",0.232,0.821,0.599,0.000689,0.0848,-4.616,0.0342,133.607,0.727,0,5,0
Yung L,Yaadman (Intro),Yaadman Kingsize,0.321,0.71,0.671,1.47e-05,0.124,-6.101,0.252,77.586,0.885,4,0,0
Booboo'zzz All Stars,Clint Eastwood,Studio Reggae Bash,0.0162,0.775,0.666,0.171,0.0753,-6.2,0.105,82.747,0.409,0,1,0
rekall,Ganja Love Remix,Unification,0.0608,0.789,0.642,0.0,0.208,-6.88,0.209,90.081,0.752,4,0,0
Yaadcore,Ghetto Youths,Reggaeland,0.111,0.614,0.713,0.0,0.0826,-4.923,0.278,66.507,0.651,4,0,0
I Wayne,Living In Love,Lava Ground,0.122,0.608,0.827,0.0,0.176,-4.848,0.242,78.524,0.964,4,0,0
Max Romeo,One Step Forward,Best Of,0.0329,0.842,0.755,4.98e-05,0.0936,-5.023,0.0426,141.06,0.977,0,5,0
Navy,Patra,Patra,0.6,0.554,0.436,1.18e-05,0.11,-8.853,0.139,82.651,0.76,3,1,0
Strangely Arousing,UFO,UFO,0.0249,0.855,0.545,0.0623,0.702,-10.112,0.0573,138.922,0.877,6,4,0
Queen Omega,Fittest,Fittest,0.0942,0.634,0.477,1.28e-05,0.127,-10.649,0.433,155.724,0.545,4,0,0
Cigarettes After Sex,Sunsetz,Cigarettes After Sex,0.0542,0.412,0.477,0.798,0.0975,-9.381,0.029,75.302,0.141,5,2,0
L'Entourloop,Madzilla,La clarté dans la confusion,0.0557,0.712,0.732,0.0,0.102,-7.358,0.195,95.086,0.551,0,5,0
Ziggy Marley & The Melody Makers,I Know You Don't Care About Me - Live,"Ziggy Marley and the Melody Makers Live, Vol. 1",0.0509,0.772,0.401,0.0,0.095,-15.521,0.271,96.78,0.813,4,0,0
Capleton,Prophet Rides Again,Prophet Rides Again (Inkalink Allstars),0.0256,0.773,0.633,0.0,0.243,-5.521,0.326,86.82,0.708,4,0,0
Chronixx,Roots & Chalice,Roots & Chalice,0.116,0.746,0.743,0.0,0.104,-7.039,0.131,82.986,0.841,0,5,0
Sly Dunbar,Inner City Blues,Sly-Go-Ville,0.158,0.72,0.478,0.0561,0.127,-9.909,0.11,87.392,0.59,3,1,0
Taggy Matcher,Gas at the Station,Singasong,0.105,0.886,0.825,0.00475,0.0939,-9.856,0.0389,103.023,0.952,0,5,0
Mikey Dread,Roots and Culture,Pave the Way,0.136,0.735,0.507,0.0176,0.373,-11.17,0.0842,144.093,0.783,0,1,0
Giant Panda Guerilla Dub Squad,Trouble Deep,Make It Better,0.348,0.893,0.549,0.0534,0.11,-8.013,0.0515,126.974,0.854,0,1,0
Resonators,Imaginary People,Imaginary People,0.054,0.74,0.48,7.12e-05,0.0778,-7.763,0.201,79.369,0.693,4,0,0
Naptali,Fire Burn,Long Journey,0.261,0.728,0.659,0.0,0.0507,-7.884,0.384,83.335,0.818,4,0,0
Jah9,Steamers a Bubble,Steamers a Bubble,0.0393,0.753,0.459,0.0,0.0921,-8.168,0.225,140.337,0.556,4,1,0
U-Roy,Natty Rebel - Remaster 1990,Natty Rebel (Extra Version),0.0615,0.813,0.395,6.72e-06,0.0923,-11.573,0.0721,83.117,0.783,0,1,0
Lutan Fyah,Weed Oooooh,Weed Oooooh,0.031,0.834,0.58,0.0,0.123,-9.08,0.32,137.917,0.654,4,0,0
Inner Circle,Healing Of The Nation,Everything Is Great,0.0233,0.788,0.675,0.0,0.0806,-9.16,0.087,140.819,0.934,0,5,0
Junior Kelly,Power to the People,Urban Poet,0.052,0.712,0.876,0.0,0.325,-4.319,0.182,77.997,0.925,0,0,0
Mo'kalamity,Frontline,Freedom of the Soul,0.0226,0.811,0.658,0.0,0.126,-4.435,0.0505,82.485,0.707,0,5,0
